output\result\result-TUW-137078-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-138011-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-138447-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-138544-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-138547-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-139299-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-139761-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-139769-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-139781-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-139785-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-140047-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-140048-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-140229-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-140253-xstream.xml;"Process types
synchronization
type systems
race-free programs
";"";none extracted value;,00;0
output\result\result-TUW-140308-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-140533-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-140867-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-140895-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-140983-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-141024-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-141065-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-141121-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-141140-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-141336-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-141618-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-141758-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-168222-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-168482-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-169511-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-172697-xstream.xml;"Design
Experimentation
Measurement
Standardization
";"";none extracted value;,00;0
output\result\result-TUW-174216-xstream.xml;"Digital Libraries
Digital Preservation
Preservation Planning
Content Characterisation
Migration
XML languages
Evaluation
File formats
File conversion
";"";none extracted value;,00;0
output\result\result-TUW-175428-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-176087-xstream.xml;"Serious games
mental disorders
cognitive-behavioral therapy
";"";none extracted value;,00;0
output\result\result-TUW-177140-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-179146-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-180162-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-181199-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-182414-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-182899-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-185321-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-185441-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-186227-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-189842-xstream.xml;"Rehabilitation technologies
stroke
user centred design
";"";none extracted value;,00;0
output\result\result-TUW-191715-xstream.xml;"computer graphics
rendering
visualization
challenges
computer vision
";"";none extracted value;,00;0
output\result\result-TUW-191977-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-192724-xstream.xml;"the personnel usefulness function
innovation characteristics
the employee selection efficiency method
";"";none extracted value;,00;0
output\result\result-TUW-194085-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-194561-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-194660-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-197422-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-197852-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-198400-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-198401-xstream.xml;"Security
Risk Management
Economics
Decision Support
";"";none extracted value;,00;0
output\result\result-TUW-198405-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-198408-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-200745-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-200748-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-200948-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-200950-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-200959-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-201066-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-201160-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-201167-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-201821-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-202034-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-202824-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-203409-xstream.xml;"code generation
instruction selection
just-in-time compilation
simulation
";"";none extracted value;,00;0
output\result\result-TUW-203924-xstream.xml;"genomic medicine
decision support
interoperability
ontology
Arden Syntax
";"";none extracted value;,00;0
output\result\result-TUW-204724-xstream.xml;"intellectual capital
strategic knowledge management
";"";none extracted value;,00;0
output\result\result-TUW-205557-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-205933-xstream.xml;"Unified Theory of Information
Ways of Thinking
Difference
Variety
Negentropy
Semiosis
Indeterminacy
Reflection
";"";none extracted value;,00;0
output\result\result-TUW-213513-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-216744-xstream.xml;"Medical Practice
Information Retrieval
Semantic Technologies
Decision Support
Multilinguality
";"";none extracted value;,00;0
output\result\result-TUW-217690-xstream.xml;"Tracking, and mapping, augmented, and virtual realities
";"";none extracted value;,00;0
output\result\result-TUW-217971-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-221215-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-223906-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-223973-xstream.xml;"computer-interpretable clinical guidelines
medical guideline formalization
Many-Headed Bridge (MHB)
UMLS
Information Extraction (IE)
";"";none extracted value;,00;0
output\result\result-TUW-225252-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-226000-xstream.xml;"Ambient Assisted Living
Human-Computer Interaction
User Description Languages
Comparison
Adaptability
User Preferences
";"";none extracted value;,00;0
output\result\result-TUW-226016-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-228620-xstream.xml;"Business networking
Resilience
Information exchange
Security
Privacy
Enforcement
";"";none extracted value;,00;0
output\result\result-TUW-231707-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-233317-xstream.xml;"data provenance
analytic provenance
sensemaking
data quality
quality metrics
visual data analysis
";"";none extracted value;,00;0
output\result\result-TUW-233657-xstream.xml;"Information Visualization
Visual Analytics
Science Fiction
";"";none extracted value;,00;0
output\result\result-TUW-236063-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-236120-xstream.xml;"vocational schools
competence orientation
educational standards
technical high school
secondary education
";"";none extracted value;,00;0
output\result\result-TUW-237297-xstream.xml;"E-Learning
learners’ requirements
higher education
self-regulated learning
";"";none extracted value;,00;0
output\result\result-TUW-240858-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-245336-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-245799-xstream.xml;"(CTC)
Model Based Diagnosis
logic relations
fuzzy logic
";"";none extracted value;,00;0
output\result\result-TUW-247301-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-247741-xstream.xml;"image segmentation
evaluation metrics
selection
";"";none extracted value;,00;0
output\result\result-TUW-247743-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-251544-xstream.xml;"Informatik
Informatisches Denken
Computational Thinking
Primarstufe
Computer Science Unplugged
Biber der Informatik
";"";none extracted value;,00;0
output\result\result-TUW-252847-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-255712-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-256654-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-257397-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-257870-xstream.xml;"Telecare
AAL
User-Centered Design
Older People
";"";none extracted value;,00;0
